"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","threshold"
"TNFRSF10B",1.86237822393079e-08,-0.954877126428423,0.015,0.039,0.000912248725428019,"ns"
"AAMP",1.87808249182417e-08,-0.689640464433315,0.028,0.059,0.000919941146970234,"ns"
"CCDC80",1.9628028189604e-08,-0.593594894113719,0.035,0.068,0.000961439704811373,"ns"
"MEF2C-AS1",1.96758597891842e-08,0.518928216006505,0.344,0.297,0.000963782640053608,"ns"
"LIMS1",1.96872056184403e-08,-0.238834232252703,0.199,0.271,0.000964338392808063,"ns"
"GABRR1",1.98155022245579e-08,-0.459511786491943,0.026,0.056,0.000970622745465521,"ns"
"ZSCAN18",2.09976154586961e-08,-0.448102937024534,0.055,0.096,0.00102852619801331,"ns"
"GPC5-AS2",2.11321145807552e-08,-8.01551795961831,0,0.012,0.00103511436850913,"down"
"MFSD14A",2.11321149776446e-08,-8.13529314822165,0,0.012,0.00103511438794997,"down"
"AL591686.2",2.11321149776446e-08,-8.05164538916438,0,0.012,0.00103511438794997,"down"
"CSKMT",2.11321149776446e-08,-8.26448349597698,0,0.012,0.00103511438794997,"down"
"AC012405.1",2.11321149776446e-08,-8.86635600912878,0,0.012,0.00103511438794997,"down"
"NDUFV2",2.11321153745339e-08,-8.12513932376639,0,0.012,0.0010351144073908,"down"
"TENT4A",2.11321153745339e-08,-7.91773389653367,0,0.012,0.0010351144073908,"down"
"EIF2S2",2.15181702024424e-08,-0.701255419106955,0.044,0.08,0.00105402453102624,"ns"
"ANAPC11",2.22854878002678e-08,-1.17942533251475,0.024,0.053,0.00109161004892052,"down"
"VPS28",2.23081878362491e-08,-0.622546371920341,0.053,0.092,0.00109272196478299,"ns"
"NMT1",2.29299968939218e-08,-0.491801770204878,0.166,0.225,0.00112318003785497,"ns"
"RPS27A",2.29487381154415e-08,-0.5398113317467,0.117,0.17,0.00112409803910867,"ns"
"FLOT1",2.29755755788132e-08,-0.570684995135808,0.065,0.106,0.00112541261857701,"ns"
