"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","threshold"
"TLN2",2.69846036546005e-08,0.346275958843864,0.207,0.149,0.00132178684081329,"ns"
"RP11-815J21.4",2.728015491926e-08,-1.38390289632935,0.013,0.038,0.00133626382841011,"down"
"RBM27",2.79141177288078e-08,-7.99424256214899,0,0.014,0.00136731722871019,"down"
"LRMDA",2.79141192599507e-08,-8.29411009774987,0,0.014,0.00136731730371016,"down"
"NGRN",2.79141192599507e-08,-8.14507919185087,0,0.014,0.00136731730371016,"down"
"RN7SK",2.79680262514619e-08,1.60634041981324,0.026,0.008,0.00136995782987536,"up"
"GRAMD1C",2.82609235685584e-08,0.2733490729451,0.386,0.318,0.0013843048191587,"ns"
"RGS16",2.84722625122782e-08,-1.51136317953545,0.024,0.053,0.00139465683463892,"down"
"WASF3",2.8477087639983e-08,0.251236350737688,0.347,0.274,0.00139489318386929,"ns"
"NDUFA11",2.86012173909449e-08,-5.47139520822123,0,0.015,0.00140097343146065,"down"
"RPL9",2.8739472660096e-08,-1.82838151219989,0.01,0.033,0.00140774558930948,"down"
"MED15",2.90095275601318e-08,-0.734370881662493,0.092,0.141,0.00142097368847794,"ns"
"FHOD3",2.98566793760462e-08,0.277679474815965,0.274,0.207,0.00146246972587687,"ns"
"CCDC144CP",2.9985861984828e-08,0.531146361829838,0.146,0.099,0.00146879747760283,"ns"
"RP11-696N14.1",3.02918536119181e-08,0.977886502568015,0.054,0.026,0.00148378586547258,"ns"
"CAMKMT",3.03827779779009e-08,0.237591285393122,0.356,0.286,0.00148823961369152,"ns"
"RP11-583F2.1",3.15400543554743e-08,1.01940097639256,0.052,0.024,0.0015449264824942,"up"
"RP11-34P1.2",3.17724803386671e-08,0.507534683705457,0.142,0.095,0.00155631140442893,"ns"
"TTN-AS1",3.17986724965578e-08,0.412360863016201,0.239,0.179,0.00155759437489889,"ns"
"LRRC37A3",3.31836828565022e-08,0.336172940296214,0.193,0.137,0.00162543633736005,"ns"
"C9orf153",3.45844557797251e-08,0.798804940732204,0.056,0.027,0.00169405039745827,"ns"
"DDX3Y",3.54500907346513e-08,0.279115795291932,0.056,0.027,0.00173645179445542,"ns"
"VAV3",3.60956629482368e-08,0.240554311803751,0.371,0.296,0.00176807385819348,"ns"
"PHKG1",3.6497806406904e-08,-0.95040110061195,0.053,0.093,0.00178777205122938,"ns"
"DLG2",3.69440526477258e-08,0.1605503127975,0.852,0.781,0.00180963053084355,"ns"
"LRBA",3.75709017612258e-08,0.318269467751174,0.323,0.256,0.00184033548097012,"ns"
"HAUS7",3.82295419311091e-08,-4.06257814198226,0.001,0.016,0.00187259765241152,"down"
"PAXX",3.84661579203255e-08,-8.1049473490281,0,0.013,0.0018841878134113,"down"
"POLR2H",3.8466158623808e-08,-8.03322975625134,0,0.013,0.00188418784786999,"down"
"CC2D2B",3.84661593272905e-08,-8.05750847421988,0,0.013,0.00188418788232867,"down"
"AL513166.1",3.84661593272905e-08,-8.20124082726925,0,0.013,0.00188418788232867,"down"
"ILRUN",3.84661593272905e-08,-8.17571708019014,0,0.013,0.00188418788232867,"down"
"BMT2",3.84661593272905e-08,-8.0990841164869,0,0.013,0.00188418788232867,"down"
"AC006148.1",3.84661593272905e-08,-8.26621282859889,0,0.013,0.00188418788232867,"down"
